num_est,file_num,law_name,link
18,0054,Ley de Justicia y Procedimientos Administrativos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-justicia-y-procedimientos-administrativos-del-estado-de-nayarit/
18,0055,Ley de la Administración Pública Paraestatal,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-la-administracion-publica-paraestatal/
18,0056,Ley de los Derechos de las Personas Adultas Mayores para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-los-derechos-de-las-personas-adultas-mayores-para-el-estado-de-nayarit/
18,0057,"Ley de los Derechos de Niñas, Niños y Adolescentes para el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-los-derechos-de-ninas-ninos-y-adolescentes-para-el-estado-de-nayarit/
18,0058,Ley de Mejora Regulatoria para el Estado de Nayarit y sus Municipios,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-mejora-regulatoria-para-el-estado-de-nayarit-y-sus-municipios/
18,0059,Ley de Movilidad del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-movilidad-del-estado-de-nayarit/
18,0060,Ley de Obra Pública del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-obra-publica-del-estado-de-nayarit/
18,0061,Ley de Participación Ciudadana del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-participacion-ciudadana-del-estado-de-nayarit/
18,0062,Ley de Pesca y Acuacultura Sustentables para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-pesca-y-acuacultura-sustentables-para-el-estado-de-nayarit/
18,0063,Ley de Planeación del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-planeacion-del-estado-de-nayarit/
18,0064,"Ley de Presupuestación, Contabilidad y Gasto Público de la Administración del Gobierno del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-presupuestacion-contabilidad-y-gasto-publico-de-la-administracion-del-gobierno-del-estado-de-nayarit/
18,0065,"Ley de Prevención, Asistencia y Atención de la Violencia Intrafamiliar para el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-prevencion-asistencia-y-atencion-de-la-violencia-intrafamiliar-para-el-estado-de-nayarit/
