stage,part,base,start_line,lines,words,chars
split,decreto,0095,0,8,84,484
split,ley,0095,8,237,5590,36014
split,transitorios,0095,245,39,854,5056
split,decreto,0096,0,7,78,429
split,ley,0096,7,130,2582,17286
split,transitorios,0096,137,22,412,2464
split,decreto,0097,0,7,98,539
split,ley,0097,7,179,4158,26748
split,transitorios,0097,186,41,1270,7781
split,decreto,0098,0,8,87,504
split,ley,0098,8,537,18263,111664
split,transitorios,0098,545,51,1356,8324
split,decreto,0099,0,10,121,774
split,ley,0099,10,108,2666,17081
split,transitorios,0099,118,20,354,2041
split,decreto,0100,0,6,74,434
split,ley,0100,6,255,6692,42697
split,transitorios,0100,261,44,1109,6669
split,decreto,0101,0,9,83,488
split,ley,0101,9,71,1422,8948
split,transitorios,0101,80,21,374,2284
split,decreto,0102,0,7,93,494
split,ley,0102,7,291,7527,47058
split,transitorios,0102,298,45,1038,6156
split,decreto,0103,0,6,94,548
split,ley,0103,6,374,11277,70420
split,transitorios,0103,380,90,2353,13997
split,decreto,0104,0,4,91,472
split,ley,0104,4,251,6619,43085
split,transitorios,0104,255,13,372,2233
split,decreto,0105,0,1,96,570
split,ley,0105,1,40,10391,67351
split,transitorios,0105,41,5,1264,7881
split,decreto,0106,0,5,80,402
split,ley,0106,5,2108,66577,426651
split,transitorios,0106,2113,73,5532,33587
split,decreto,0107,0,6,75,438
split,ley,0107,6,532,16613,109066
split,transitorios,0107,538,22,497,3112
split,decreto,0108,0,8,90,449
split,ley,0108,8,974,23961,155734
split,transitorios,0108,982,148,3546,20870
split,decreto,0109,0,7,71,442
split,ley,0109,7,255,5924,38927
split,transitorios,0109,262,31,600,3562
split,decreto,0110,0,8,79,466
split,ley,0110,8,408,9485,60072
split,transitorios,0110,416,17,268,1549
split,decreto,0111,0,7,103,623
split,ley,0111,7,614,19656,132745
split,transitorios,0111,621,44,944,6110
split,decreto,0112,0,6,88,530
split,ley,0112,6,569,17109,112034
split,transitorios,0112,575,84,3062,19070
split,decreto,0113,0,7,117,691
split,ley,0113,7,166,3199,20723
split,transitorios,0113,173,17,448,2820
split,decreto,0114,0,8,104,621
split,ley,0114,8,285,7458,47199
split,transitorios,0114,293,19,571,3512
split,decreto,0115,0,8,97,629
split,ley,0115,8,86,1657,11081
split,transitorios,0115,94,12,179,1097
split,decreto,0116,0,8,100,529
split,ley,0116,8,805,19353,121657
split,transitorios,0116,813,101,3017,18673
split,decreto,0117,0,3,39,229
split,ley,0117,3,432,10518,67044
split,transitorios,0117,435,356,8943,52313
split,decreto,0118,0,7,98,596
split,ley,0118,7,43,598,4093
split,transitorios,0118,50,13,224,1363
split,decreto,0119,0,6,105,636
split,ley,0119,6,232,5565,36877
split,transitorios,0119,238,23,598,3839
split,decreto,0120,0,7,86,480
split,ley,0120,7,102,2474,15628
split,transitorios,0120,109,22,526,3090
split,decreto,0121,0,6,75,442
split,ley,0121,6,116,3227,21079
split,transitorios,0121,122,13,270,1601
split,decreto,0122,0,5,98,537
split,ley,0122,5,135,2682,17643
split,transitorios,0122,140,15,476,2949
split,decreto,0123,0,5,89,524
split,ley,0123,5,151,4862,31932
split,transitorios,0123,156,22,536,3306
split,decreto,0124,0,6,89,466
split,ley,0124,6,269,6961,44676
split,transitorios,0124,275,22,511,3142
split,decreto,0125,0,8,95,539
split,ley,0125,8,772,20993,132847
split,transitorios,0125,780,26,681,4048
split,decreto,0126,0,6,83,485
split,ley,0126,6,211,4748,30566
split,transitorios,0126,217,23,518,3295
split,decreto,0127,0,5,83,422
split,ley,0127,5,434,9322,60135
split,transitorios,0127,439,33,834,4972
split,decreto,0128,0,8,84,465
split,ley,0128,8,79,1752,11299
split,transitorios,0128,87,11,165,956
split,decreto,0129,0,6,80,467
split,ley,0129,6,523,14263,93460
split,transitorios,0129,529,54,1205,7444
split,decreto,0130,0,6,120,617
split,ley,0130,6,700,20752,130991
split,transitorios,0130,706,39,1062,6374
split,decreto,0131,0,8,97,545
split,ley,0131,8,122,3084,19474
split,transitorios,0131,130,30,611,3593
split,decreto,0132,0,5,76,443
split,ley,0132,5,175,3728,24014
split,transitorios,0132,180,18,401,2404
split,decreto,0133,0,5,85,442
split,ley,0133,5,405,10873,72134
split,transitorios,0133,410,44,859,5143
split,decreto,0134,0,5,100,539
split,ley,0134,5,173,3887,24592
split,transitorios,0134,178,26,677,4198
split,decreto,0135,0,6,99,524
split,ley,0135,6,192,6826,44038
split,transitorios,0135,198,29,1071,6434
split,decreto,0136,0,6,92,483
split,ley,0136,6,406,10105,65353
split,transitorios,0136,412,19,409,2398
split,decreto,0137,0,6,99,521
split,ley,0137,6,198,5684,36691
split,transitorios,0137,204,30,692,4255
split,decreto,0138,0,7,93,546
split,ley,0138,7,530,13625,90107
split,transitorios,0138,537,48,848,5088
split,decreto,0139,0,6,86,458
split,ley,0139,6,44,1364,8341
split,transitorios,0139,50,12,253,1508
split,decreto,0140,0,7,124,670
split,ley,0140,7,86,2084,13571
split,transitorios,0140,93,20,407,2536
split,decreto,0141,0,7,96,577
split,ley,0141,7,140,3181,21176
split,transitorios,0141,147,20,514,3137
split,decreto,0142,0,8,80,494
split,ley,0142,8,134,3368,22280
split,transitorios,0142,142,22,490,3097
split,decreto,0143,0,8,99,602
split,ley,0143,8,185,4972,32247
split,transitorios,0143,193,29,695,4328
split,decreto,0144,0,8,105,564
split,ley,0144,8,127,2561,17154
split,transitorios,0144,135,20,369,2218
split,decreto,0145,0,5,77,438
split,ley,0145,5,206,4224,28065
split,transitorios,0145,211,20,533,3421
split,decreto,0146,0,8,91,505
split,ley,0146,8,49,1098,6715
split,transitorios,0146,57,39,1076,6572
split,decreto,0147,0,8,107,605
split,ley,0147,8,94,2454,15612
split,transitorios,0147,102,48,1197,7255
split,decreto,0148,0,6,84,500
split,ley,0148,6,128,2926,18973
split,transitorios,0148,134,22,522,3198
split,decreto,0149,0,7,89,503
split,ley,0149,7,293,7025,45477
split,transitorios,0149,300,115,3928,23996
split,decreto,0150,0,6,80,435
split,ley,0150,6,149,2881,19084
split,transitorios,0150,155,17,369,2232
split,decreto,0151,0,7,98,611
split,ley,0151,7,143,3971,25601
split,transitorios,0151,150,17,414,2517
split,decreto,0152,0,8,118,731
split,ley,0152,8,153,3797,24820
split,transitorios,0152,161,15,359,2229
split,decreto,0153,0,8,108,655
split,ley,0153,8,76,1421,9248
split,transitorios,0153,84,15,222,1306
split,decreto,0154,0,7,105,595
split,ley,0154,7,93,2501,16301
split,transitorios,0154,100,24,499,3025
split,decreto,0155,0,7,100,568
split,ley,0155,7,109,2259,14657
split,transitorios,0155,116,3,37,223
split,decreto,0156,0,6,86,510
split,ley,0156,6,154,3768,24129
split,transitorios,0156,160,18,514,3199
split,decreto,0157,0,7,99,594
split,ley,0157,7,79,1770,11666
split,transitorios,0157,86,19,371,2250
split,decreto,0158,0,6,79,504
split,ley,0158,6,45,1043,6845
split,transitorios,0158,51,18,281,1736
split,decreto,0159,0,7,86,485
split,ley,0159,7,80,2007,13080
split,transitorios,0159,87,24,478,3011
split,decreto,0160,0,4,78,455
split,ley,0160,4,223,4743,30505
split,transitorios,0160,227,16,388,2364
split,decreto,0161,0,6,90,538
split,ley,0161,6,134,3384,21402
split,transitorios,0161,140,13,327,1999
split,decreto,0162,0,6,97,528
split,ley,0162,6,87,2442,15305
split,transitorios,0162,93,11,218,1319
split,decreto,0163,0,8,107,576
split,ley,0163,8,41,944,5990
split,transitorios,0163,49,18,313,1844
split,decreto,0164,0,6,104,532
split,ley,0164,6,204,4309,27688
split,transitorios,0164,210,31,792,4741
split,decreto,0165,0,8,95,564
split,ley,0165,8,148,2554,16566
split,transitorios,0165,156,22,324,2001
split,decreto,0166,0,4,91,490
split,ley,0166,4,184,3442,22417
split,transitorios,0166,188,16,380,2306
split,decreto,0167,0,5,60,350
split,ley,0167,5,180,3513,22935
split,transitorios,0167,185,14,395,2471
split,decreto,0168,0,5,83,493
split,ley,0168,5,224,5008,32944
split,transitorios,0168,229,17,453,2707
split,decreto,0169,0,8,94,511
split,ley,0169,8,151,2968,19433
split,transitorios,0169,159,15,308,1820
split,decreto,0170,0,8,81,443
split,ley,0170,8,152,2888,18826
split,transitorios,0170,160,12,265,1577
split,decreto,0171,0,8,95,568
split,ley,0171,8,147,2550,16534
split,transitorios,0171,155,22,324,1997
split,decreto,0172,0,7,106,638
split,ley,0172,7,23,1211,7625
split,transitorios,0172,30,22,512,3005
