stage,source_pdf,base,lines,words,chars
raw,0086.pdf,0086,7258,22540,161577
raw,0087.pdf,0087,12659,50472,383950
raw,0088.pdf,0088,5902,24265,199098
raw,0089.pdf,0089,11853,45735,315980
raw,0090.pdf,0090,8236,30316,241132
raw,0091.pdf,0091,5766,21440,147544
raw,0092.pdf,0092,30148,109800,737272
raw,0093.pdf,0093,5961,25803,201156
raw,0094.pdf,0094,6156,23588,179012
raw,0095.pdf,0095,7813,23292,161473
raw,0096.pdf,0096,11339,46253,333250
raw,0097.pdf,0097,7343,22577,164954
raw,0098.pdf,0098,6019,24713,194322
raw,0099.pdf,0099,6750,27232,201992
raw,0100.pdf,0100,6404,24702,178096
raw,0101.pdf,0101,5014,24110,163989
raw,0102.pdf,0102,11893,44398,315872
raw,0103.pdf,0103,9965,28218,219282
raw,0104.pdf,0104,6457,25784,174508
raw,0105.pdf,0105,9756,33336,262725
raw,0106.pdf,0106,7291,27753,241691
raw,0107.pdf,0107,9430,22666,202068
raw,0108.pdf,0108,7190,30771,208511
raw,0109.pdf,0109,9060,26697,201082
raw,0110.pdf,0110,6000,25938,201749
raw,0111.pdf,0111,8309,27437,185848
raw,0112.pdf,0112,9127,23946,177227
raw,0113.pdf,0113,5195,22938,155756
raw,0114.pdf,0114,7422,22114,160674
raw,0115.pdf,0115,10786,42186,283316
raw,0116.pdf,0116,4748,25045,172254
raw,0117.pdf,0117,5630,23926,165900
raw,0118.pdf,0118,8817,27941,191697
raw,0119.pdf,0119,18075,53796,342286
raw,0120.pdf,0120,5403,22343,157119
raw,0121.pdf,0121,6036,25664,201464
raw,0122.pdf,0122,8428,24447,192649
raw,0123.pdf,0123,5738,23674,171583
raw,0124.pdf,0124,4838,26190,180134
raw,0125.pdf,0125,11120,36467,282928
raw,0126.pdf,0126,8415,24181,190269
raw,0127.pdf,0127,6946,23890,184780
raw,0128.pdf,0128,6704,24275,169834
raw,0129.pdf,0129,9122,21688,158037
raw,0130.pdf,0130,7683,27142,187708
raw,0131.pdf,0131,10802,25503,187907
raw,0132.pdf,0132,22092,92423,688658
raw,0133.pdf,0133,6355,24012,180438
raw,0134.pdf,0134,6072,22487,156298
