stage,source_raw,base,lines,words,chars
clean,raw_0145.txt,0145,1695,26504,165441
clean,raw_0146.txt,0146,1930,24502,153844
clean,raw_0147.txt,0147,3466,41771,266219
clean,raw_0148.txt,0148,1707,38754,250306
clean,raw_0149.txt,0149,1940,23209,146292
clean,raw_0150.txt,0150,1705,28759,179300
clean,raw_0151.txt,0151,4802,81953,511755
clean,raw_0152.txt,0152,1459,23515,147078
clean,raw_0153.txt,0153,1802,23359,147867
clean,raw_0154.txt,0154,3786,54233,342015
clean,raw_0155.txt,0155,1917,23549,150664
clean,raw_0156.txt,0156,2005,24116,151164
clean,raw_0157.txt,0157,1388,22605,141809
clean,raw_0158.txt,0158,1872,27589,175158
clean,raw_0159.txt,0159,1726,23862,150548
